artigo,frente,verso
Art. 5,Qual a importância estratégica do Art. 5 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 6,Sobre o que dispõe o Art. 6 da CF/88?,"o São direitos sociais a educação, a saúde, a alimentação, o trabalho, a moradia, 
o transporte, o lazer, a segurança, a previdência social, a proteção à maternidade e à 
infância, a assistência aos desamparados, na forma desta Constituição"
Art. 6,"Complete a ideia do Art. 6: o São direitos sociais a educação, a saúde, a alim...","o São direitos sociais a educação, a saúde, a alimentação, o trabalho, a moradia, 
o transporte, o lazer, a segurança, a previdência social, a proteção à maternidade e à 
infância, a assistência aos d..."
Art. 7,Sobre o que dispõe o Art. 7 da CF/88?,"o São direitos dos trabalhadores urbanos e rurais, além de outros que visem à 
melhoria de sua condição social: (EC n o 20/98, EC n o 28/2000, EC n o 53/2006 e EC n o 
72/2013)
I – relação de emprego protegida contra despedida arbitrária ou sem justa causa, 
nos termos de lei complementar, que preverá indenização compensatória, dentre outros 
direitos;
II – seguro-desemprego, em caso de desemprego involuntário;
III – fundo de garantia do tempo de serviço;
IV – salário mínimo, fixado em lei, nacionalmente unificado, capaz de atender a 
suas necessidades vitais básicas e às de sua família com moradia, alimentação, educação, 
saúde, lazer, vestuário, higiene, transporte e previdência social, com reajustes periódicos 
que lhe preservem o poder aquisitivo, sendo vedada sua vinculação para qualquer fim;
V – piso salarial proporcional à extensão e à complexidade do trabalho;
VI – irredutibilidade do salário, salvo o disposto em convenção ou acordo coletivo;
VII – garantia de salário, nunca inferior ao mínimo, para os que percebem remu-
neração variável;
VIII – décimo terceiro salário com base na remuneração integral ou no valor da 
aposentadoria;
IX – remuneração do trabalho noturno superior à do diurno;
X – proteção do salário na forma da lei, constituindo crime sua retenção dolosa;
XI – participação nos lucros, ou resultados, desvinculada da remuneração, e, ex-
cepcionalmente, participação na gestão da empresa, conforme definido em lei;
XII – salário-família pago em razão do dependente do trabalhador de baixa renda 
nos termos da lei;
XIII – duração do trabalho normal não superior a oito horas diárias e quarenta e 
quatro semanais, facultada a compensação de horários e a redução da jornada, mediante 
acordo ou convenção coletiva de trabalho;
XIV – jornada de seis horas para o trabalho realizado em turnos ininterruptos de 
revezamento, salvo negociação coletiva;
XV – repouso semanal remunerado, preferencialmente aos domingos;
XVI – remuneração do serviço extraordinário superior, no mínimo, em cinqüenta 
por cento à do normal;
XVII – gozo de férias anuais remuneradas com, pelo menos, um terço a mais do 
que o salário normal;
XVIII – licença à gestante, sem prejuízo do emprego e do salário, com a duração 
de cento e vinte dias;
XIX – licença-paternidade, nos termos fixados em lei;
Constituição da República Federativa do Brasil
18

XX – proteção do mercado de trabalho da mulher, mediante incentivos específicos, 
nos termos da lei;
XXI – aviso prévio proporcional ao tempo de serviço, sendo no mínimo de trinta 
dias, nos termos da lei;
XXII – redução dos riscos inerentes ao trabalho, por meio de normas de saúde, 
higiene e segurança;
XXIII – adicional de remuneração para as atividades penosas, insalubres ou pe -
rigosas, na forma da lei;
XXIV – aposentadoria;
XXV – assistência gratuita aos filhos e dependentes desde o nascimento até 5 
(cinco) anos de idade em creches e pré-escolas;
XXVI – reconhecimento das convenções e acordos coletivos de trabalho;
XXVII – proteção em face da automação, na forma da lei;
XXVIII – seguro contra acidentes de trabalho, a cargo do empregador, sem excluir 
a indenização a que este está obrigado, quando incorrer em dolo ou culpa;
XXIX – ação, quanto aos créditos resultantes das relações de trabalho, com prazo 
prescricional de cinco anos para os trabalhadores urbanos e rurais, até o limite de dois 
anos após a extinção do contrato de trabalho:
a) (Revogada);
b) (Revogada);
XXX – proibição de diferença de salários, de exercício de funções e de critério de 
admissão por motivo de sexo, idade, cor ou estado civil;
XXXI – proibição de qualquer discriminação no tocante a salário e critérios de 
admissão do trabalhador portador de deficiência;
XXXII – proibição de distinção entre trabalho manual, técnico e intelectual ou 
entre os profissionais respectivos;
XXXIII – proibição de trabalho noturno, perigoso ou insalubre a menores de de-
zoito e de qualquer trabalho a menores de dezesseis anos, salvo na condição de aprendiz, 
a partir de quatorze anos;
XXXIV – igualdade de direitos entre o trabalhador com vínculo empregatício 
permanente e o trabalhador avulso"
Art. 7,Quais são os principais pontos/incisos do Art. 7?,Consulte o texto para detalhes sobre a lista de competências ou direitos específicos deste artigo.
Art. 7,Qual a importância estratégica do Art. 7 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 8,Sobre o que dispõe o Art. 8 da CF/88?,"o É livre a associação profissional ou sindical, observado o seguinte:
I – a lei não poderá exigir autorização do Estado para a fundação de sindicato, 
ressalvado o registro no órgão competente, vedadas ao Poder Público a interferência e 
a intervenção na organização sindical;
II – é vedada a criação de mais de uma organização sindical, em qualquer grau, 
representativa de categoria profissional ou econômica, na mesma base territorial, que 
será definida pelos trabalhadores ou empregadores interessados, não podendo ser in -
ferior à área de um Município;
19Dos Direitos e Garantias Fundamentais

III – ao sindicato cabe a defesa dos direitos e interesses coletivos ou individuais 
da categoria, inclusive em questões judiciais ou administrativas;
IV – a assembléia geral fixará a contribuição que, em se tratando de categoria 
profissional, será descontada em folha, para custeio do sistema confederativo da repre-
sentação sindical respectiva, independentemente da contribuição prevista em lei;
V – ninguém será obrigado a filiar-se ou a manter-se filiado a sindicato;
VI – é obrigatória a participação dos sindicatos nas negociações coletivas de 
trabalho;
VII – o aposentado filiado tem direito a votar e ser votado nas organizações sin-
dicais;
VIII – é vedada a dispensa do empregado sindicalizado a partir do registro da 
candidatura a cargo de direção ou representação sindical e, se eleito, ainda que suplen-
te, até um ano após o final do mandato, salvo se cometer falta grave nos termos da lei"
Art. 8,"Complete a ideia do Art. 8: o É livre a associação profissional ou sindical, o...","o É livre a associação profissional ou sindical, observado o seguinte:
I – a lei não poderá exigir autorização do Estado para a fundação de sindicato, 
ressalvado o registro no órgão competente, vedad..."
Art. 8,Qual a importância estratégica do Art. 8 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 9,Sobre o que dispõe o Art. 9 da CF/88?,"o É assegurado o direito de greve, competindo aos trabalhadores decidir sobre 
a oportunidade de exercê-lo e sobre os interesses que devam por meio dele defender"
Art. 9,"Complete a ideia do Art. 9: o É assegurado o direito de greve, competindo aos ...","o É assegurado o direito de greve, competindo aos trabalhadores decidir sobre 
a oportunidade de exercê-lo e sobre os interesses que devam por meio dele defender.
§ 1o A lei definirá os serviços ou at..."
Art. 10,Sobre o que dispõe o Art. 10 da CF/88?,"É assegurada a participação dos trabalhadores e empregadores nos colegiados 
dos órgãos públicos em que seus interesses profissionais ou previdenciários sejam objeto 
de discussão e deliberação"
Art. 10,Complete a ideia do Art. 10: É assegurada a participação dos trabalhadores e em...,"É assegurada a participação dos trabalhadores e empregadores nos colegiados 
dos órgãos públicos em que seus interesses profissionais ou previdenciários sejam objeto 
de discussão e deliberação."
Art. 11,Sobre o que dispõe o Art. 11 da CF/88?,"Nas empresas de mais de duzentos empregados, é assegurada a eleição de 
um representante destes com a finalidade exclusiva de promover-lhes o entendimento 
direto com os empregadores"
Art. 11,"Complete a ideia do Art. 11: Nas empresas de mais de duzentos empregados, é ass...","Nas empresas de mais de duzentos empregados, é assegurada a eleição de 
um representante destes com a finalidade exclusiva de promover-lhes o entendimento 
direto com os empregadores.
CAPÍTULO III –  ..."
Art. 12,Sobre o que dispõe o Art. 12 da CF/88?,"São brasileiros: (ECR no 3/94, EC n o 23/99 e EC n o 54/2007)
I – natos:
a) os nascidos na República Federativa do Brasil, ainda que de pais estrangeiros, 
desde que estes não estejam a serviço de seu país;
b) os nascidos no estrangeiro, de pai brasileiro ou mãe brasileira, desde que 
qualquer deles esteja a serviço da República Federativa do Brasil;
c) os nascidos no estrangeiro de pai brasileiro ou de mãe brasileira, desde que 
sejam registrados em repartição brasileira competente ou venham a residir na 
República Federativa do Brasil e optem, em qualquer tempo, depois de atingida 
a maioridade, pela nacionalidade brasileira;
II – naturalizados:
a) os que, na forma da lei, adquiram a nacionalidade brasileira, exigidas aos 
originários de países de língua portuguesa apenas residência por um ano 
ininterrupto e idoneidade moral;
Constituição da República Federativa do Brasil
20

b) os estrangeiros de qualquer nacionalidade residentes na República Federativa 
do Brasil há mais de quinze anos ininterruptos e sem condenação penal, desde 
que requeiram a nacionalidade brasileira"
Art. 12,"Complete a ideia do Art. 12: São brasileiros: (ECR no 3/94, EC n o 23/99 e EC n...","São brasileiros: (ECR no 3/94, EC n o 23/99 e EC n o 54/2007)
I – natos:
a) os nascidos na República Federativa do Brasil, ainda que de pais estrangeiros, 
desde que estes não estejam a serviço de seu..."
Art. 12,Qual a importância estratégica do Art. 12 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 13,Sobre o que dispõe o Art. 13 da CF/88?,A língua portuguesa é o idioma oficial da República Federativa do Brasil
Art. 13,Complete a ideia do Art. 13: A língua portuguesa é o idioma oficial da Repúblic...,"A língua portuguesa é o idioma oficial da República Federativa do Brasil.
§ 1o São símbolos da República Federativa do Brasil a bandeira, o hino, as armas e 
o selo nacionais.
§ 2o Os Estados, o Distr..."
Art. 14,Sobre o que dispõe o Art. 14 da CF/88?,"A soberania popular será exercida pelo sufrágio universal e pelo voto direto 
e secreto, com valor igual para todos, e, nos termos da lei, mediante: (ECR n o 4/94 e 
EC n o 16/97)
I – plebiscito;
II – referendo;
III – iniciativa popular"
Art. 14,Complete a ideia do Art. 14: A soberania popular será exercida pelo sufrágio un...,"A soberania popular será exercida pelo sufrágio universal e pelo voto direto 
e secreto, com valor igual para todos, e, nos termos da lei, mediante: (ECR n o 4/94 e 
EC n o 16/97)
I – plebiscito;
II –..."
Art. 14,Qual a importância estratégica do Art. 14 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 15,Sobre o que dispõe o Art. 15 da CF/88?,"É vedada a cassação de direitos políticos, cuja perda ou suspensão só se dará 
nos casos de:
I – cancelamento da naturalização por sentença transitada em julgado;
II – incapacidade civil absoluta;
III – condenação criminal transitada em julgado, enquanto durarem seus efeitos;
IV – recusa de cumprir obrigação a todos imposta ou prestação alternativa, nos 
termos do art"
Art. 15,"Complete a ideia do Art. 15: É vedada a cassação de direitos políticos, cuja pe...","É vedada a cassação de direitos políticos, cuja perda ou suspensão só se dará 
nos casos de:
I – cancelamento da naturalização por sentença transitada em julgado;
II – incapacidade civil absoluta;
III..."
Art. 16,Sobre o que dispõe o Art. 16 da CF/88?,"A lei que alterar o processo eleitoral entrará em vigor na data de sua publica-
ção, não se aplicando à eleição que ocorra até um ano da data de sua vigência"
Art. 16,Complete a ideia do Art. 16: A lei que alterar o processo eleitoral entrará em ...,"A lei que alterar o processo eleitoral entrará em vigor na data de sua publica-
ção, não se aplicando à eleição que ocorra até um ano da data de sua vigência. (EC no 4/93)
CAPÍTULO V –  
Dos Partidos ..."
Art. 17,Sobre o que dispõe o Art. 17 da CF/88?,"É livre a criação, fusão, incorporação e extinção de partidos políticos, res -
guardados a soberania nacional, o regime democrático, o pluripartidarismo, os direitos 
fundamentais da pessoa humana e observados os seguintes preceitos: (EC n o 52/2006)
I – caráter nacional;
II – proibição de recebimento de recursos financeiros de entidade ou governo 
estrangeiros ou de subordinação a estes;
III – prestação de contas à Justiça Eleitoral;
IV – funcionamento parlamentar de acordo com a lei"
Art. 17,"Complete a ideia do Art. 17: É livre a criação, fusão, incorporação e extinção ...","É livre a criação, fusão, incorporação e extinção de partidos políticos, res -
guardados a soberania nacional, o regime democrático, o pluripartidarismo, os direitos 
fundamentais da pessoa humana e o..."
Art. 17,Qual a importância estratégica do Art. 17 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 18,Sobre o que dispõe o Art. 18 da CF/88?,"A organização político-administrativa da República Federativa do Brasil 
compreende a União, os Estados, o Distrito Federal e os Municípios, todos autônomos, 
nos termos desta Constituição"
Art. 18,Complete a ideia do Art. 18: A organização político-administrativa da República...,"A organização político-administrativa da República Federativa do Brasil 
compreende a União, os Estados, o Distrito Federal e os Municípios, todos autônomos, 
nos termos desta Constituição. (EC n o 15..."
Art. 18,Qual a importância estratégica do Art. 18 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 19,Sobre o que dispõe o Art. 19 da CF/88?,"É vedado à União, aos Estados, ao Distrito Federal e aos Municípios:
I – estabelecer cultos religiosos ou igrejas, subvencioná-los, embaraçar-lhes o 
funcionamento ou manter com eles ou seus representantes relações de dependência ou 
aliança, ressalvada, na forma da lei, a colaboração de interesse público;
II – recusar fé aos documentos públicos;
III – criar distinções entre brasileiros ou preferências entre si"
Art. 19,"Complete a ideia do Art. 19: É vedado à União, aos Estados, ao Distrito Federal...","É vedado à União, aos Estados, ao Distrito Federal e aos Municípios:
I – estabelecer cultos religiosos ou igrejas, subvencioná-los, embaraçar-lhes o 
funcionamento ou manter com eles ou seus represent..."
Art. 20,Sobre o que dispõe o Art. 20 da CF/88?,"São bens da União: (EC n o 46/2005)
I – os que atualmente lhe pertencem e os que lhe vierem a ser atribuídos;
II – as terras devolutas indispensáveis à defesa das fronteiras, das fortificações 
e construções militares, das vias federais de comunicação e à preservação ambiental, 
definidas em lei;
III – os lagos, rios e quaisquer correntes de água em terrenos de seu domínio, ou 
que banhem mais de um Estado, sirvam de limites com outros países, ou se estendam a 
território estrangeiro ou dele provenham, bem como os terrenos marginais e as praias 
fluviais;
IV – as ilhas fluviais e lacustres nas zonas limítrofes com outros países; as praias 
marítimas; as ilhas oceânicas e as costeiras, excluídas, destas, as que contenham a sede 
de Municípios, exceto aquelas áreas afetadas ao serviço público e a unidade ambiental 
federal, e as referidas no art"
Art. 20,"Complete a ideia do Art. 20: São bens da União: (EC n o 46/2005)
I – os que atu...","São bens da União: (EC n o 46/2005)
I – os que atualmente lhe pertencem e os que lhe vierem a ser atribuídos;
II – as terras devolutas indispensáveis à defesa das fronteiras, das fortificações 
e cons..."
Art. 20,Qual a importância estratégica do Art. 20 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 21,Sobre o que dispõe o Art. 21 da CF/88?,"Compete à União: (EC no 8/95, EC n o 19/98, EC n o 49/2006 e EC n o 69/2012)
I – manter relações com Estados estrangeiros e participar de organizações inter-
nacionais;
II – declarar a guerra e celebrar a paz;
III – assegurar a defesa nacional;
IV – permitir, nos casos previstos em lei complementar, que forças estrangeiras 
transitem pelo território nacional ou nele permaneçam temporariamente;
V – decretar o estado de sítio, o estado de defesa e a intervenção federal;
VI – autorizar e fiscalizar a produção e o comércio de material bélico;
VII – emitir moeda;
VIII – administrar as reservas cambiais do País e fiscalizar as operações de natureza 
financeira, especialmente as de crédito, câmbio e capitalização, bem como as de seguros 
e de previdência privada;
IX – elaborar e executar planos nacionais e regionais de ordenação do território 
e de desenvolvimento econômico e social;
X – manter o serviço postal e o correio aéreo nacional;
XI – explorar, diretamente ou mediante autorização, concessão ou permissão, os 
serviços de telecomunicações, nos termos da lei, que disporá sobre a organização dos 
serviços, a criação de um órgão regulador e outros aspectos institucionais;
XII – explorar, diretamente ou mediante autorização, concessão ou permissão:
a) os serviços de radiodifusão sonora e de sons e imagens;
b) os serviços e instalações de energia elétrica e o aproveitamento energético dos 
cursos de água, em articulação com os Estados onde se situam os potenciais 
hidroenergéticos;
c) a navegação aérea, aeroespacial e a infra-estrutura aeroportuária;
d) os serviços de transporte ferroviário e aquaviário entre portos brasileiros e 
fronteiras nacionais, ou que transponham os limites de Estado ou Território;
Constituição da República Federativa do Brasil
26

e) os serviços de transporte rodoviário interestadual e internacional de passa -
geiros;
f) os portos marítimos, fluviais e lacustres;
XIII – organizar e manter o Poder Judiciário, o Ministério Público do Distrito 
Federal e dos Territórios e a Defensoria Pública dos Territórios;
XIV – organizar e manter a polícia civil, a polícia militar e o corpo de bombeiros 
militar do Distrito Federal, bem como prestar assistência financeira ao Distrito Federal 
para a execução de serviços públicos, por meio de fundo próprio;
XV – organizar e manter os serviços oficiais de estatística, geografia, geologia e 
cartografia de âmbito nacional;
XVI – exercer a classificação, para efeito indicativo, de diversões públicas e de 
programas de rádio e televisão;
XVII – conceder anistia;
XVIII – planejar e promover a defesa permanente contra as calamidades públicas, 
especialmente as secas e as inundações;
XIX – instituir sistema nacional de gerenciamento de recursos hídricos e definir 
critérios de outorga de direitos de seu uso;
XX – instituir diretrizes para o desenvolvimento urbano, inclusive habitação, 
saneamento básico e transportes urbanos;
XXI – estabelecer princípios e diretrizes para o sistema nacional de viação;
XXII – executar os serviços de polícia marítima, aeroportuária e de fronteiras;
XXIII – explorar os serviços e instalações nucleares de qualquer natureza e exer-
cer monopólio estatal sobre a pesquisa, a lavra, o enriquecimento e reprocessamento, 
a industrialização e o comércio de minérios nucleares e seus derivados, atendidos os 
seguintes princípios e condições:
a) toda atividade nuclear em território nacional somente será admitida para fins 
pacíficos e mediante aprovação do Congresso Nacional;
b) sob regime de permissão, são autorizadas a comercialização e a utilização de 
radioisótopos para a pesquisa e usos médicos, agrícolas e industriais;
c) sob regime de permissão, são autorizadas a produção, comercialização e utili-
zação de radioisótopos de meia-vida igual ou inferior a duas horas;
d) a responsabilidade civil por danos nucleares independe da existência de culpa;
XXIV – organizar, manter e executar a inspeção do trabalho;
XXV – estabelecer as áreas e as condições para o exercício da atividade de garim-
pagem, em forma associativa"
Art. 21,"Complete a ideia do Art. 21: Compete à União: (EC no 8/95, EC n o 19/98, EC n o...","Compete à União: (EC no 8/95, EC n o 19/98, EC n o 49/2006 e EC n o 69/2012)
I – manter relações com Estados estrangeiros e participar de organizações inter-
nacionais;
II – declarar a guerra e celebr..."
Art. 21,Qual a importância estratégica do Art. 21 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
