Quais são os cinco fundamentos da República Federativa do Brasil expressos no Art. 1º?,"Soberania, cidadania, dignidade da pessoa humana, valores sociais do trabalho e da livre iniciativa, e pluralismo político."
Quais são os direitos sociais listados no Art. 6º?,"Educação, saúde, alimentação, trabalho, moradia, transporte, lazer, segurança, previdência social, proteção à maternidade e à infância e assistência aos desamparados."
Qual é a duração máxima da jornada de trabalho normal estabelecida no Art. 7º?,Oito horas diárias e quarenta e quatro semanais.
Qual é o prazo prescricional para o trabalhador pleitear créditos resultantes das relações de trabalho após a extinção do contrato?,Até o limite de dois anos.
"É proibido qualquer trabalho a menores de _____ anos, salvo na condição de aprendiz a partir dos 14 anos.",16
"São brasileiros natos os nascidos no estrangeiro de pai ou mãe brasileira, desde que registrados em repartição competente ou venham a residir no Brasil e optem pela nacionalidade após a _____.",Maioridade
Cite três cargos que são privativos de brasileiro nato.,"Presidente e Vice-Presidente da República, Presidente da Câmara dos Deputados e Presidente do Senado Federal."
Quais são os símbolos da República Federativa do Brasil?,"A bandeira, o hino, as armas e o selo nacionais."
Para quem o alistamento eleitoral e o voto são facultativos?,"Analfabetos, maiores de 70 anos e jovens entre 16 e 18 anos."
Qual é a idade mínima para elegibilidade ao cargo de Governador de Estado?,Trinta anos.
O mandato eletivo poderá ser impugnado ante a Justiça Eleitoral no prazo de _____ dias contados da diplomação.,15
"Quais entes compõem a organização político-administrativa da República Federativa do Brasil, todos autônomos?","A União, os Estados, o Distrito Federal e os Municípios."
Qual cidade é a Capital Federal do Brasil?,Brasília
"A quem compete legislar privativamente sobre direito civil, comercial, penal e do trabalho?",À União.
A competência da União para legislar sobre normas gerais exclui a competência suplementar dos Estados?,Não.
Qual é a duração do mandato dos Deputados Estaduais?,Quatro anos.
O subsídio dos Deputados Estaduais é limitado a _____ por cento daquele estabelecido para os Deputados Federais.,75
Como é o processo de votação da Lei Orgânica de um Município?,"Votada em dois turnos, com interstício mínimo de dez dias, e aprovada por dois terços da Câmara Municipal."
Qual é o limite máximo de vereadores para municípios com até 15.000 habitantes?,9 vereadores.
A fiscalização do Município é exercida pelo _____ mediante controle externo.,Poder Legislativo Municipal
É vedada a divisão do Distrito Federal em _____.,Municípios
Em que caso a União pode intervir nos Estados para garantir a integridade nacional?,Para repelir invasão estrangeira ou de uma unidade da Federação em outra.
Quais são os cinco princípios que a administração pública direta e indireta deve obedecer (Art. 37)?,"Legalidade, impessoalidade, moralidade, publicidade e eficiência."
Qual é o prazo de validade de um concurso público?,"Até dois anos, prorrogável uma vez, por igual período."
A remuneração dos servidores públicos somente pode ser fixada ou alterada por _____.,Lei específica
Qual é o teto remuneratório geral para os agentes públicos no Brasil?,"O subsídio mensal, em espécie, dos Ministros do Supremo Tribunal Federal."
"É vedada a acumulação remunerada de cargos públicos, exceto para dois cargos de _____.",Professor
"Os atos de improbidade administrativa importam, entre outras sanções, a suspensão dos _____.",Direitos políticos
Após quanto tempo de efetivo exercício os servidores nomeados por concurso tornam-se estáveis?,Três anos.
Quantos Senadores cada Estado e o Distrito Federal elegem?,Três Senadores.
Qual é a duração do mandato de um Senador?,Oito anos.
"As deliberações de cada Casa do Congresso Nacional são tomadas por maioria de votos, presente a _____ de seus membros.",Maioria absoluta
Compete privativamente ao _____ processar e julgar o Presidente da República nos crimes de responsabilidade.,Senado Federal
"Os Deputados e Senadores são invioláveis, civil e penalmente, por quaisquer de suas _____.","Opiniões, palavras e votos"
A Constituição não poderá ser emendada na vigência de _____.,"Intervenção federal, estado de defesa ou estado de sítio."
Qual é o quórum necessário para aprovação de uma Emenda à Constituição?,"Três quintos dos votos dos membros de cada Casa, em dois turnos."
O veto do Presidente da República a um projeto de lei pode ser rejeitado pelo voto da _____.,Maioria absoluta dos Deputados e Senadores.
Qual órgão exerce o controle externo do Congresso Nacional auxiliando na fiscalização contábil da União?,Tribunal de Contas da União (TCU).
Qual é a idade mínima para ser Ministro do Tribunal de Contas da União?,Mais de 35 anos.
Qual é a data fixada pela Constituição para a posse do Presidente e do Vice-Presidente da República?,Primeiro de janeiro do ano seguinte ao da sua eleição.
Compete privativamente ao Presidente da República nomear e exonerar os _____.,Ministros de Estado
Qual órgão é o guardião precípuo da Constituição Federal?,O Supremo Tribunal Federal (STF).
Quantos Ministros compõem o Supremo Tribunal Federal?,Onze ministros.
O Conselho Nacional de Justiça (CNJ) compõe-se de quantos membros?,Quinze membros.
Qual é o número mínimo de Ministros que compõem o Superior Tribunal de Justiça (STJ)?,Trinta e três ministros.
Os pagamentos devidos pelas Fazendas Públicas em virtude de sentença judiciária far-se-ão exclusivamente na ordem cronológica de apresentação dos _____.,Precatórios
A quem compete processar e julgar os crimes militares definidos em lei?,À Justiça Militar.
Qual é o quórum necessário para que os tribunais declarem a inconstitucionalidade de lei ou ato normativo (cláusula de reserva de plenário)?,Maioria absoluta de seus membros ou dos membros do respectivo órgão especial.
